Sector,Earnings/Share
Health Care,9.33
Materials,7.498333333333332
Energy,7.406666666666666
Industrials,7.064117647058824
Information Technology,6.832222222222223
Consumer Discretionary,6.678076923076923
Telecommunication Services,6.0600000000000005
Financials,5.895
Consumer Staples,5.652857142857143
Real Estate,4.7555555555555555
Utilities,4.065
